Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
The Evil Within,"Survival horror, Tiro em terceira pessoa",Tango Gameworks,Bethesda Softworks,14 de outubro de 2014,14 de outubro de 2014,23 de outubro de 2014,22 de novembro de 2013
The First Templar,Ação & Aventura,Haemimont Games,Kalypso Media,26 de abril de 2011,26 de abril de 2011,26 de abril de 2011,22 de novembro de 2013
The Godfather II,"Ação & Aventura, Mundo aberto",EA Redwood Shores,Electronic Arts,7 de abril de 2009,9 de abril de 2009,16 de abril de 2009,22 de novembro de 2013
The Godfather: The Game,Ação & Aventura,EA Redwood Shores,Electronic Arts,19 de setembro de 2006,22 de setembro de 2006,25 de janeiro de 2007,22 de novembro de 2013
The Golden Compass,Ação & Aventura,Shiny Entertainment,Sega,4 de dezembro de 2007,30 de novembro de 2007,Não lançado,22 de novembro de 2013
The Gunstringer,"Tiro em terceira pessoa, Shoot 'em up",Twisted Pixel Games,Microsoft Studios,13 de setembro de 2011,16 de setembro de 2011,Não lançado,Não lançado
The Hip Hop Dance Experience,Dança,iNiS,Ubisoft,13 de novembro de 2012,13 de novembro de 2012,Não lançado,Não lançado
The History Channel: Battle for the Pacific,Tiro em primeira pessoa,Cauldron,Activision Value,30 de novembro de 2007,7 de março de 2008,Não lançado,22 de novembro de 2013
The History Channel: Civil War – A Nation Divided,Tiro em primeira pessoa,Cauldron,Activision Value,7 de novembro de 2006,7 de novembro de 2006,Não lançado,22 de novembro de 2013
The Idolmaster,"Música, Simulação",Namco Bandai Games,Namco Bandai Games,Não lançado,Não lançado,25 de janeiro de 2007,Não lançado
The Idolmaster 2,"Música, Simulação",Namco Bandai Games,Namco Bandai Games,Não lançado,Não lançado,24 de fevereiro de 2011,Não lançado
The Idolmaster Live For You!,"Música, Simulação",Namco Bandai Games,Namco Bandai Games,Não lançado,Não lançado,28 de fevereiro de 2008,Não lançado
The Incredible Hulk,"Ação, Mundo aberto",Edge of Reality,Sega,5 de junho de 2008,27 de junho de 2008,Não lançado,22 de novembro de 2013
The King of Fighters XII,Luta,SNK Playmore,SNK Playmore,24 de julho de 2009,25 de setembro de 2009,30 de julho de 2009,22 de novembro de 2013
The King of Fighters XIII,Luta,SNK Playmore,"Atlus, Rising Star GamesEU, SNK PlaymoreJP",22 de novembro de 2011,25 de novembro de 2011,1 de dezembro de 2011,22 de novembro de 2013
The Last Remnant,RPG eletrônico,Square Enix,Square Enix,20 de novembro de 2008,21 de novembro de 2008,20 de novembro de 2008,22 de novembro de 2013
The Legend of Spyro: Dawn of the Dragon,Ação,Étranges Libellules,Activision,21 de outubro de 2008,21 de novembro de 2008,Não lançado,22 de novembro de 2013
The LEGO Movie Videogame,"Ação & Aventura, Plataforma",TT Games,Warner Bros. Interactive Entertainment,7 de fevereiro de 2014,14 de fevereiro de 2014,3 de abril de 2014,22 de novembro de 2013
The Lord of the Rings: Conquest,Ação,Pandemic Studios,Electronic Arts,13 de janeiro de 2009,9 de janeiro de 2009,9 de janeiro de 2009,22 de novembro de 2013
The Lord of the Rings: The Battle for Middle-earth II,RTS,DICE Los Angeles,Electronic Arts,5 de julho de 2006,14 de julho de 2006,Não lançado,22 de novembro de 2013
The Lord of the Rings: War in the North,RPG eletrônico,Snowblind Studios,Warner Bros. Interactive Entertainment,1 de novembro de 2011,9 de novembro de 2011,Não lançado,22 de novembro de 2013
The Orange Box[nota 67],"Tiro em primeira pessoa, Puzzle",Valve Corporation,Electronic Arts,9 de outubro de 2007,19 de outubro de 2007,22 de maio de 2008,22 de novembro de 2013
The Outfit,RPG Tático,Relic Entertainment,THQ,13 de março de 2006,17 de março de 2006,2 de novembro de 2006,22 de novembro de 2013
The Path of Go,Cartas,Microsoft Research Cambridge,Microsoft Studios,15 de dezembro de 2010,-,-,-
The Peanuts Movie: Snoopy's Grand Adventure,Plataforma,Beenox,Activision,3 de novembro de 2015,6 de novembro de 2015,3 de novembro de 2015,22 de novembro de 2013
The Price is Right: The Decades,"Game show, Skill",Ludia,Ubisoft,15 de novembro de 2011,18 de novembro de 2011,Não lançado,22 de novembro de 2013
The Saboteur,Ação & Aventura,Pandemic Studios,Electronic Arts,8 de dezembro de 2009,8 de dezembro de 2009,Não lançado,22 de novembro de 2013
The Simpsons Game,"Ação, Plataforma",Electronic Arts,Electronic Arts,30 de outubro de 2007,2 de novembro de 2007,Não lançado,22 de novembro de 2013
The Sims 3: Pets,Simulação,"Maxis, Edge of Reality",Electronic Arts,18 de outubro de 2011,21 de outubro de 2011,20 de outubro de 2011,22 de novembro de 2013
The Sims 3,Simulação,Maxis,Electronic Arts,26 de outubro de 2010,28 de outubro de 2010,18 de novembro de 2010,22 de novembro de 2013
The Smurfs 2,Plataforma,WayForward Technologies,Ubisoft,23 de julho de 2013,19 de julho de 2013,Não lançado,22 de novembro de 2013
The Spiderwick Chronicles,Ação & Aventura,Sierra Entertainment,Sierra Entertainment,5 de fevereiro de 2008,28 de março de 2008,Não lançado,22 de novembro de 2013
The Testament of Sherlock Holmes,RPG de ação,Frogwares,Focus Home Interactive,25 de setembro de 2013,20 de setembro de 2013,Não lançado,22 de novembro de 2013
The Walking Dead,Aventura gráfica,Telltale Games,Telltale Games,11 de dezembro de 2012,10 de maio de 2013,9 de maio de 2013,22 de novembro de 2013
The Walking Dead: Season Two,Aventura gráfica,Telltale Games,Telltale Games,14 de outubro de 2014,24 de outubro de 2014,31 de outubro de 2014,22 de novembro de 2013
The Walking Dead: Survival Instinct,Tiro em primeira pessoa,Terminal Reality,Activision,19 de março de 2013,22 de março de 2013,Não lançado,22 de novembro de 2013
The Witcher 2: Assassins of Kings,"RPG de ação, Hack and slash",CD Projekt Red,Warner Bros. Interactive Entertainment,17 de abril de 2012,17 de abril de 2012,17 de abril de 2012,22 de novembro de 2013
The Wolf Among Us,Aventura gráfica,Telltale Games,Telltale Games,4 de novembro de 2014,17 de outubro de 2014,Não lançado,22 de novembro de 2013
The Voice I Want You,Jogo em grupo,Activision,Activision,11 de outubro de 2014,11 de outubro de 2014,Não lançado,22 de novembro de 2013
Thief,"Ação & Aventura, Stealth",Eidos Montréal,Square Enix,25 de fevereiro de 2014,28 de fevereiro de 2014,27 de fevereiro de 2014,22 de novembro de 2013
Things on Wheels,Corrida & Voo,Load Inc.,Focus Home Interactivesimpso,12 de maio de 2010,-,-,-
Thor: God of Thunder,Ação,Liquid Entertainment,Sega,3 de maio de 2011,30 de abril de 2011,Não lançado,22 de novembro de 2013
Thrillville: Off the Rails,"RTS, Simulação, Jogo em grupo",Frontier Developments,LucasArts,16 de outubro de 2007,19 de outubro de 2007,Não lançado,22 de novembro de 2013
Thunder Wolves,Tiro,Most Wanted Entertainment,bitComposer Interactive,12 de junho de 2013,-,-,-
Ticket to Ride,Cartas,Next Level Games,Microsoft Studios,25 de junho de 2008,-,-,-
Tiger Woods PGA Tour 06,Esportes,EA Tiburon,EA Sports,22 de novembro de 2005[1],2 de dezembro de 2005,23 de fevereiro de 2006,Não lançado
Tiger Woods PGA Tour 07,Esportes,EA Tiburon,EA Sports,17 de outubro de 2006,27 de outubro de 2006,Não lançado,22 de novembro de 2013
Tiger Woods PGA Tour 08,Esportes,EA Tiburon,EA Sports,28 de agosto de 2007,31 de agosto de 2007,Não lançado,22 de novembro de 2013
Tiger Woods PGA Tour 09,Esportes,EA Tiburon,EA Sports,26 de agosto de 2008,29 de agosto de 2008,25 de setembro de 2008,22 de novembro de 2013
Tiger Woods PGA Tour 10,Esportes,EA Tiburon,EA Sports,8 de junho de 2009,3 de julho de 2009,Não lançado,22 de novembro de 2013
Tiger Woods PGA Tour 11,Esportes,EA Tiburon,EA Sports,8 de junho de 2010,2 de julho de 2010,Não lançado,22 de novembro de 2013
Tiger Woods PGA Tour 12: The Masters,Esportes,EA Tiburon,EA Sports,29 de março de 2011,1 de abril de 2011,Não lançado,22 de novembro de 2013
Tiger Woods PGA Tour 13,Esportes,EA Tiburon,EA Sports,27 de março de 2012,30 de março de 2012,Não lançado,22 de novembro de 2013
Tiger Woods PGA Tour 14,Esportes,EA Tiburon,EA Sports,26 de março de 2013,28 de março de 2013,Não lançado,22 de novembro de 2013
Time Leap,"Romance visual, Adulto",Frontwing,Prototype,Não lançado,25 de junho de 2009,25 de junho de 2009,22 de novembro de 2013
Time Pilot,Clássico,Konami/Digital Eclipse,Konami,30 de agosto de 2006,-,-,-
TimeShift,Tiro em primeira pessoa,Saber Interactive,Vivendi Games,30 de outubro de 2007,2 de novembro de 2007,Não lançado,22 de novembro de 2013
TiQal,Puzzle & Trivia,Slapdash Games,Microsoft Studios,26 de março de 2008,-,-,-
Titanfall,"Tiro em primeira pessoa, Mecha",Respawn Entertainment,Electronic Arts,25 de março de 2014,8 de abril de 2014,28 de março de 2014,22 de novembro de 2013
TMNT,Ação & Aventura,Ubisoft Quebec,Ubisoft,20 de março de 2007,23 de março de 2007,Não lançado,22 de novembro de 2013
TNA iMPACT!,Luta & Esporte,Midway Studios Los Angeles,Midway Games,9 de setembro de 2008,12 de setembro de 2008,Não lançado,22 de novembro de 2013
TNT Racers,Corrida & Voo,Keen Games,DTP Entertainment,9 de fevereiro de 2011,-,-,-
Tom Clancy's EndWar,RTT,Ubisoft Shanghai,Ubisoft,4 de novembro de 2008,7 de novembro de 2008,29 de janeiro de 2009,22 de novembro de 2013
Tom Clancy's Ghost Recon Advanced Warfighter,Tiro tático,Red Storm Entertainment,Ubisoft,9 de março de 2006,10 de março de 2006,29 de junho de 2006,22 de novembro de 2013
Tom Clancy's Ghost Recon Advanced Warfighter 2,Tiro tático,Red Storm Entertainment,Ubisoft,6 de março de 2007,9 de março de 2007,12 de julho de 2007,22 de novembro de 2013
Tom Clancy's Ghost Recon: Future Soldier,Tiro tático,Red Storm Entertainment,Ubisoft,22 de maio de 2012,24 de maio de 2012,4 de julho de 2012,22 de novembro de 2013
Tom Clancy's H.A.W.X,Simulador de combate aéreo,Ubisoft Bucharest,Ubisoft,5 de março de 2009,6 de março de 2009,23 de abril de 2009,22 de novembro de 2013
Tom Clancy's H.A.W.X 2,Simulador de combate aéreo,Ubisoft Bucharest,Ubisoft,7 de setembro de 2010,3 de setembro de 2010,7 de outubro de 2010,22 de novembro de 2013
Tom Clancy's Rainbow Six: Vegas,"Tiro em primeira pessoa, Tiro tático",Ubisoft Montreal,Ubisoft,20 de novembro de 2006,1 de dezembro de 2006,26 de abril de 2007,22 de novembro de 2013
Tom Clancy's Rainbow Six: Vegas 2,"Tiro em primeira pessoa, Tiro tático",Ubisoft Montreal,Ubisoft,18 de março de 2008,20 de março de 2008,24 de abril de 2008,22 de novembro de 2013
Tom Clancy's Splinter Cell: Blacklist,"Ação & Aventura, Stealth",Ubisoft Toronto,Ubisoft,20 de agosto de 2013,20 de agosto de 2013,23 de agosto de 2013,22 de novembro de 2013
Tom Clancy's Splinter Cell: Conviction,"Ação & Aventura, Stealth",Ubisoft Montreal,Ubisoft,13 de abril de 2010,16 de abril de 2010,28 de abril de 2010,22 de novembro de 2013
Tom Clancy's Splinter Cell: Double Agent,"Ação & Aventura, Stealth",Ubisoft Shanghai,Ubisoft,17 de outubro de 2006,20 de outubro de 2006,22 de fevereiro de 2007,22 de novembro de 2013
Tomb Raider,"Ação & Aventura, Plataforma",Crystal Dynamics,Square Enix,5 de março de 2013,5 de março de 2013,5 de março de 2013,22 de novembro de 2013
Tomb Raider: Anniversary,"Ação & Aventura, Plataforma",Crystal Dynamics,Eidos Interactive,23 de outubro de 2007,26 de outubro de 2007,27 de março de 2008,22 de novembro de 2013
Tomb Raider: Collection,"Ação & Aventura, Plataforma",Crystal Dynamics,Eidos Interactive,Não lançado,29 de novembro de 2013,Não lançado,22 de novembro de 2013
Tomb Raider: Legend,"Ação & Aventura, Plataforma",Crystal Dynamics,Eidos Interactive,11 de abril de 2006,7 de abril de 2006,5 de outubro de 2006,22 de novembro de 2013
Tomb Raider: Underworld,"Ação & Aventura, Plataforma",Crystal Dynamics,Eidos Interactive,18 de novembro de 2008,21 de novembro de 2008,29 de janeiro de 2009,22 de novembro de 2013
Tomoyo After: It's a Wonderful Life CS Edition,"Romance visual, Adulto",Key,Prototype,Não lançado,Não lançado,22 de outubro de 2010,22 de novembro de 2013
Tony Hawk: Ride,Esportes,Robomodo,Activision,17 de novembro de 2009,20 de novembro de 2009,Não lançado,22 de novembro de 2013
Tony Hawk: Shred,Esportes,Robomodo,Activision,26 de outubro de 2010,29 de outubro de 2010,Não lançado,22 de novembro de 2013
Tony Hawk's American Wasteland,Esportes,Neversoft,Activision,22 de novembro de 2005[1],2 de dezembro de 2005,Não lançado,Não lançado
Tony Hawk's Pro Skater 5,Esportes,Robomodo,Activision,15 de dezembro de 2015,15 de dezembro de 2015,Não lançado,22 de novembro de 2013
Tony Hawk's Pro Skater HD,Esportes & Recreação,Robomodo,Activision,18 de julho de 2012,-,-,-
Tony Hawk's Project 8,Esportes,Neversoft,"Activision, Spike JP",7 de novembro de 2006,17 de novembro de 2006,29 de novembro de 2006,22 de novembro de 2013
Tony Hawk's Proving Ground,Esportes,Neversoft,Activision,15 de outubro de 2007,2 de novembro de 2007,Não lançado,22 de novembro de 2013
Too Human,RPG de ação,Silicon Knights,Microsoft Game Studios,19 de agosto de 2008,29 de agosto de 2008,28 de agosto de 2008,22 de novembro de 2013
Top Gun: Hard Lock,"Esportes, Simulador de combate aéreo",Headstrong Games,505 Games,6 de março de 2012,6 de março de 2012,Não lançado,22 de novembro de 2013
Top Hand Rodeo Tour,-,D3 Publisher,D3 Publisher,20 de agosto de 2012,23 de agosto de 2012,22 de agosto de 2012,Unreleased
Top Spin 2,Esportes,Indie Built,2K Sports,29 de março de 2006,7 de abril de 2006,13 de agosto de 2006,22 de novembro de 2013
Top Spin 3,Esportes,PAM Development,2K Sports,23 de junho de 2008,20 de junho de 2008,30 de julho de 2009,22 de novembro de 2013
Top Spin 4,Esportes,2K Czech,2K Sports,15 de março de 2011,18 de março de 2011,30 de março de 2011,22 de novembro de 2013
Torchlight,RPG da ação,Runic Games,Microsoft Studios,9 de março de 2011,-,-,-
Tornado Outbreak[nota 68],Ação,Loose Cannon Studios,Konami,15 de setembro de 2009,15 de setembro de 2009,Não lançado,22 de novembro de 2013
TotemBall,Ação & Aventura,Strange Flavour/Freeverse Inc.,Microsoft Studios,4 de outubro de 2006,-,-,-
Tour de France 2011,"Esportes, Corria",Cyanide,Focus Home Interactive,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Tour De France 2009Le Tour De France 2009: The Official Game,Esportes & Recreação,Cyanide,Focus Home Interactive,15 de julho de 2009,-,-,-
Tour de France 2012,"Esportes, Corria",Cyanide,Focus Home Interactive,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Tour de France 2013: 100 Edition,Esportes,Cyanide,Focus Home Interactive,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Tower Bloxx Deluxe,Puzzle & Trivia,Digital Chocolate,Microsoft Studios,21 de outubro de 2009,-,-,-
Toy Soldiers,Ação & Aventura,Signal Studios,Microsoft Studios,3 de março de 2010,-,-,-
Toy Soldiers: Cold War,Ação & Aventura,Signal Studios,Microsoft Studios,17 de agosto de 2011,-,-,-
Toy Story 3: The Video Game,Plataforma,Avalanche Software,Disney Interactive Studios,15 de junho de 2010,16 de julho de 2010,8 de julho de 2010,22 de novembro de 2013
Toy Story Mania!,Jogo em grupo,"Papaya Studio, High Voltage Software",Disney Interactive Studios,30 de novembro de 2012,30 de novembro de 2012,Não lançado,22 de novembro de 2013
Toybox Turbos,Corrida & Voo,Codemasters,Codemasters,14 de novembro de 2014,-,-,-
Track & Field,Clássico,Konami/Digital Eclipse,Konami,8 de agosto de 2007,-,-,-
Transformers: Dark of the Moon,-,High Moon Studios,Activision,14 de junho de 2011,24 de junho de 2011,Não lançado,29 de junho de 2011
Transformers: Devastation,Ação & Beat 'em up,PlatinumGames,Activision,6 de outubro de 2015,9 de outubro de 2015,6 de outubro de 2015,22 de novembro de 2013
Transformers: Fall of Cybertron,Tiro em terceira pessoa,High Moon Studios,Activision,21 de agosto de 2012,24 de agosto de 2012,21 de agosto de 2012,22 de novembro de 2013
Transformers: Revenge of the Fallen,Tiro em terceira pessoa,Luxoflux,Activision,23 de junho de 2009,26 de junho de 2009,Não lançado,22 de novembro de 2013
Transformers: Rise of the Dark Spark,Tiro em terceira pessoa,Edge of Reality,Activision,20 de junho de 2014,20 de junho de 2014,20 de junho de 2014,22 de novembro de 2013
Transformers: The Game,Tiro em terceira pessoa,Traveller's Tales,Activision,26 de junho de 2007,20 de julho de 2007,Não lançado,22 de novembro de 2013
Transformers: War for Cybertron,Tiro em terceira pessoa,High Moon Studios,Activision,22 de junho de 2010,25 de junho de 2010,Não lançado,22 de novembro de 2013
Trials 2009Trials HD,Corrida & Voo,RedLynx,Microsoft Studios,12 de agosto de 2009,-,-,-
Trials 2012Trials Evolution,Corrida & Voo,RedLynx,Microsoft Studios,18 de abril de 2012,-,-,-
Trials 2014Trials Fusion,Corrida & Voo,RedLynx,Ubisoft,16 de abril de 2014,-,-,-
Triggerheart Exelica,Tiro,Warashi,Microsoft Studios,27 de fevereiro de 2008,-,-,-
Trine 2,Plataforma,Frozenbyte,Atlus USA,21 de dezembro de 2011,-,-,-
Triple Pack - Outland / From Dust / Beyond Good & Evil HD,Arcade,Ubisoft,Ubisoft,Não lançado,13 de março de 2011,Não lançado,Não lançado
Trivial Pursuit,Jogo de tabuleiro,Electronic Arts,Electronic Arts,10 de março de 2009,13 de março de 2009,Não lançado,22 de novembro de 2013
Trivial Pursuit Live!,Cartas,Ubisoft Halifax,Ubisoft,17 de fevereiro de 2015,-,-,-
Tron,Clássico,Bally Midway/Digital Eclipse,Disney Interactive Studios,9 de janeiro de 2008,-,-,-
Tron: Evolution,Ação & Aventura,Propaganda Games,Disney Interactive Studios,1 de novembro de 2010,1 de novembro de 2010,Não lançado,22 de novembro de 2013
Tropico 3,Simulador de construção e gerenciamento,Haemimont Games,Kalypso Media,16 de fevereiro de 2010,13 de novembro de 2009,Não lançado,22 de novembro de 2013
Tropico 4,Simulador de construção e gerenciamento,Haemimont Games,"Kalypso Media, FX Interactive (IT e ES)",30 de agosto de 2011,26 de agosto de 2011,Não lançado,22 de novembro de 2013
Tropico 5,Simulador de construção e gerenciamento,Haemimont Games,"Kalypso Media, FX Interactive (IT e ES)",11 de novembro de 2014,11 de novembro de 2014,11 de novembro de 2014,22 de novembro de 2013
Trouble Witches Neo!,Tiro,SNK/Adventure Planning Service,SNK,27 de abril de 2011,-,-,-
Truck Racer,Corrida,Kylotonn,Bigben Games,-,-,-,-
Truth or Lies: Someone will get caugth,Jogo em grupo,Big Ant Studios,THQ,14 de setembro de 2010,12 de novembro de 2010,Não lançado,22 de novembro de 2013
Turbo: Super Stunt Squad,"Ação, Corria",Monkey Bar Games,D3 Publisher,16 de julho de 2013,16 de julho de 2013,Não lançado,22 de novembro de 2013
Turning Point: Fall of Liberty,Tiro em primeira pessoa,Spark Unlimited,Codemasters,26 de fevereiro de 2008,14 de março de 2008,Não lançado,22 de novembro de 2013
